id,category,status,bytes,file_count,title,citation,url,local_path,note,error
emt_sf_clinicaltrials_icf,dld_treatment,downloaded,214786,,Maximizing Outcomes for Preschoolers With Developmental Language Disorders - ClinicalTrials.gov consent/protocol document,,https://cdn.clinicaltrials.gov/large-docs/93/NCT03782493/ICF_000.pdf,data/external/literature/dld_treatment/emt_sf_nct03782493_icf.pdf,,
mls_age11_blank_form,manchester_docs,downloaded,1980582,,Manchester Language Study age 11 blank paper data form,,https://reshare.ukdataservice.ac.uk/853965/4/MLS_age11_BlankPaperData.pdf,data/external/literature/manchester_docs/mls_age11_blank_paper_data.pdf,,
mls_age11_readme,manchester_docs,downloaded,164260,,Manchester Language Study age 11 readme,"Conti-Ramsden, Botting, Durkin, and Toseeb (2020), MLS age 11 ReShare documentation, DOI 10.5255/UKDA-SN-853965.",https://reshare.ukdataservice.ac.uk/853965/13/ReadMe.docx,data/external/literature/manchester_docs/mls_age11_readme.docx,,
mls_age11_variable_list,manchester_docs,downloaded,44783,,Manchester Language Study age 11 variable list,"Conti-Ramsden, Botting, Durkin, and Toseeb (2020), MLS age 11 ReShare documentation, DOI 10.5255/UKDA-SN-853965.",https://reshare.ukdataservice.ac.uk/853965/3/MLS_Database_Variablelist_description.docx,data/external/literature/manchester_docs/mls_age11_variable_list.docx,,
mls_age16_blank_form,manchester_docs,downloaded,2325029,,Manchester Language Study age 16 blank paper copy,,https://reshare.ukdataservice.ac.uk/854103/5/MLS_age16_BlankPaperCopy.pdf,data/external/literature/manchester_docs/mls_age16_blank_paper_copy.pdf,,
mls_age16_readme,manchester_docs,downloaded,74334,,Manchester Language Study age 16 readme,"Conti-Ramsden, Botting, Durkin, and Toseeb (2020), MLS age 16 ReShare documentation, DOI 10.5255/UKDA-SN-854103.",https://reshare.ukdataservice.ac.uk/854103/3/readmedoc16yearMLSFinal.docx,data/external/literature/manchester_docs/mls_age16_readme.docx,,
mls_age16_variable_list,manchester_docs,downloaded,102006,,Manchester Language Study age 16 variable list,"Conti-Ramsden, Botting, Durkin, and Toseeb (2020), MLS age 16 ReShare documentation, DOI 10.5255/UKDA-SN-854103.",https://reshare.ukdataservice.ac.uk/854103/13/MLS_Database_Variablelist_description_doc.docx,data/external/literature/manchester_docs/mls_age16_variable_list.docx,,
mls_age23_informant_questionnaire,manchester_docs,downloaded,188729,,Manchester Language Study young adulthood nominated informant questionnaire,,https://reshare.ukdataservice.ac.uk/852066/10/NominatedInformant_Questionnaire.pdf,data/external/literature/manchester_docs/mls_age23_informant_questionnaire.pdf,,
mls_age23_participant_interview,manchester_docs,downloaded,575263,,Manchester Language Study young adulthood participant interview,,https://reshare.ukdataservice.ac.uk/852066/9/Participant_Interview.pdf,data/external/literature/manchester_docs/mls_age23_participant_interview.pdf,,
mls_age23_readme,manchester_docs,downloaded,67809,,Manchester Language Study age 23 readme guide,"Conti-Ramsden, Durkin, Pickles, and Botting (2016), MLS young adulthood ReShare documentation, DOI 10.5255/UKDA-SN-852066.",https://reshare.ukdataservice.ac.uk/852066/55/ReadmeGuide.docx,data/external/literature/manchester_docs/mls_age23_readme_guide.docx,,
mls_age23_variable_list,manchester_docs,failed,,,Manchester Language Study age 23 variable list,"Conti-Ramsden, Durkin, Pickles, and Botting (2016), MLS young adulthood ReShare documentation, DOI 10.5255/UKDA-SN-852066.",https://reshare.ukdataservice.ac.uk/852066/48/Variables_list_age23.xlsx,data/external/literature/manchester_docs/mls_age23_variable_list.xlsx,,HTTPError: HTTP Error 401: Unauthorized
mls_age7_blank_form,manchester_docs,downloaded,415982,,Manchester Language Study age 7 blank paper data form,,https://reshare.ukdataservice.ac.uk/853746/17/MLS_age7_BlankPaperData.pdf,data/external/literature/manchester_docs/mls_age7_blank_paper_data.pdf,,
mls_age7_readme,manchester_docs,downloaded,261014,,Manchester Language Study age 7 readme,"Conti-Ramsden, Botting, Durkin, and Toseeb (2020), MLS age 7 ReShare documentation, DOI 10.5255/UKDA-SN-853746.",https://reshare.ukdataservice.ac.uk/853746/13/ReadMe.docx,data/external/literature/manchester_docs/mls_age7_readme.docx,,
mls_age7_variable_list,manchester_docs,downloaded,35142,,Manchester Language Study age 7 variable list,"Conti-Ramsden, Botting, Durkin, and Toseeb (2020), MLS age 7 ReShare documentation, DOI 10.5255/UKDA-SN-853746.",https://reshare.ukdataservice.ac.uk/853746/14/MLS_Database_VariableList.docx,data/external/literature/manchester_docs/mls_age7_variable_list.docx,,
scientific_reports_2025_user_pdf,nature_2025,copied_from_downloads,2058431,,User-provided Scientific Reports 2025 paper PDF,"Scientific Reports (2025), DOI 10.1038/s41598-025-24725-x.",local user download,data/external/literature/nature_2025/s41598-025-24725-x.pdf,,
lorusso_2022_nwrt_bilingual_dld_dataset,paired_tasks,blocked_http_403,,,Dataset NWRT Italian-German bilingual DLD nonword repetition task,"Lorusso, Eikerling, and Bloder (2022), Zenodo dataset, DOI 10.5281/zenodo.6519135.",https://zenodo.org/records/6519135/files/NWsAsRows_FinalSelectionFrontiers_def.xlsx?download=1,data/external/literature/paired_tasks/lorusso_2022_nwrt_italian_german_bilingual_dld.xlsx,"Zenodo landing page is public, but direct file download returned HTTP 403 from this environment.",HTTPError: HTTP Error 403: Forbidden
lorusso_2022_nwrt_bilingual_dld_paper,paired_tasks,downloaded,969445,,A Nonword Repetition Task Discriminates Typically Developing Italian-German Bilingual Children From Bilingual Children With DLD,"Lorusso, Eikerling, and Bloder (2022), Frontiers in Psychology, DOI 10.3389/fpsyg.2022.826540.",https://www.frontiersin.org/articles/10.3389/fpsyg.2022.826540/pdf,data/external/literature/paired_tasks/lorusso_2022_nonword_repetition_bilingual_dld.pdf,,
paradis_2013_nonword_tense_li,paired_tasks,downloaded,185607,,Discriminating children with language impairment among English language learners from diverse first language backgrounds,,https://talkbank.org/childes/access/Clinical-Eng/0docs/Paradis2013.pdf,data/external/literature/paired_tasks/paradis_2013_nonword_tense_language_impairment.pdf,,
fiveash_2023_osf_sentrep_data,structured_tasks,downloaded,88431,,Fiveash 2023 OSF sentence repetition data and analysis scripts,"Fiveash et al. (2023), OSF project msbn4 accompanying DOI 10.1038/s41539-023-00170-1.",https://osf.io/msbn4/,data/external/literature/structured_tasks/fiveash_2023_osf_manifest.txt,,
fiveash_2023_rhythmic_primes_dld,structured_tasks,downloaded,646659,,Regular rhythmic primes improve sentence repetition in children with developmental language disorder,"Fiveash et al. (2023), npj Science of Learning, DOI 10.1038/s41539-023-00170-1.",https://www.nature.com/articles/s41539-023-00170-1.pdf,data/external/literature/structured_tasks/fiveash_2023_rhythmic_primes_sentence_repetition_dld.pdf,,
kueser_leonard_2020_frequency_predictability_dld,structured_tasks,downloaded,328925,,The Effects of Frequency and Predictability on Repetition in Children With Developmental Language Disorder,"Kueser and Leonard (2020), Journal of Speech, Language, and Hearing Research, DOI 10.1044/2019_JSLHR-19-00155.",https://drive.google.com/file/d/1YhYjFhM-1kaZlOCx6dfpXI7KvIM2kDdT/view?usp=sharing,data/external/literature/structured_tasks/kueser_leonard_2020_frequency_predictability_repetition_dld.pdf,,
hakim_ratner_2004_nonword_stuttering,stuttering,downloaded,167710,,Nonword repetition abilities of children who stutter: an exploratory study,,https://talkbank.org/fluency/access/0docs/Hakim04.pdf,data/external/literature/stuttering/hakim_ratner_2004_nonword_repetition_children_stutter.pdf,,
ratner_2018_fluencybank,stuttering,downloaded,330826,,FluencyBank corpus paper,,https://talkbank.org/fluency/access/0docs/ratner2018.pdf,data/external/literature/stuttering/ratner_macwhinney_2018_fluencybank.pdf,,
smith_weber_2016_childhood_stuttering_review,stuttering,downloaded,53242,,Childhood Stuttering: Where Are We and Where Are We Going?,,https://talkbank.org/fluency/access/0docs/smith2016.pdf,data/external/literature/stuttering/smith_weber_2016_childhood_stuttering.pdf,,
spencer_weber_fox_2014_stuttering_recovery,stuttering,downloaded,436044,,Preschool speech articulation and nonword repetition abilities may help predict eventual recovery or persistence of stuttering,,https://talkbank.org/fluency/access/0docs/spencer2014.pdf,data/external/literature/stuttering/spencer_weber_fox_2014_recovery_persistence_stuttering.pdf,,
